,human_symbol,human_ensembl,human_entrez,mouse_symbol,mouse_ensembl,mouse_entrez
38,SYN1,ENSG00000008056,6853,Syn1,ENSMUSG00000037217,20964
39,TFAP2B,ENSG00000008196,7021,Tfap2b,ENSMUSG00000025927,21419
40,TFAP2D,ENSG00000008197,83741,Tfap2d,ENSMUSG00000042596,226896
41,CYTH3,ENSG00000008256,9265,Cyth3,ENSMUSG00000018001,19159
42,CRY1,ENSG00000008405,1407,Cry1,ENSMUSG00000020038,12952
43,HEATR5B,ENSG00000008869,54497,Heatr5b,ENSMUSG00000039414,320473
44,TENM1,ENSG00000009694,10178,Tenm1,ENSMUSG00000016150,23963
45,ZNF207,ENSG00000010244,7756,Zfp207,ENSMUSG00000017421,22680
46,FYN,ENSG00000010810,2534,Fyn,ENSMUSG00000019843,14360
47,LYPLA2,ENSG00000011009,11313,Lypla2,ENSMUSG00000028670,26394
48,CLCN6,ENSG00000011021,1185,Clcn6,ENSMUSG00000029016,26372
49,NME1-NME2,ENSG00000011052,654364,Gm20390,ENSMUSG00000091228,<NA>
50,SLC6A7,ENSG00000011083,6534,Slc6a7,ENSMUSG00000052026,240332
51,TSPAN9,ENSG00000011105,10867,Tspan9,ENSMUSG00000030352,109246
52,MBTD1,ENSG00000011258,54799,Mbtd1,ENSMUSG00000059474,103537
53,RABGAP1,ENSG00000011454,23637,Rabgap1,ENSMUSG00000035437,227800
54,PPP5C,ENSG00000011485,5536,Ppp5c,ENSMUSG00000003099,19060
55,MAP4K3,ENSG00000011566,8491,Map4k3,ENSMUSG00000024242,225028
56,MBTPS2,ENSG00000012174,51360,Mbtps2,ENSMUSG00000046873,270669
57,EXTL3,ENSG00000012232,2137,Extl3,ENSMUSG00000021978,54616
58,MAP4K5,ENSG00000012983,11183,Map4k5,ENSMUSG00000034761,399510
59,EHD3,ENSG00000013016,30845,Ehd3,ENSMUSG00000024065,57440
60,PSMC4,ENSG00000013275,5704,Psmc4,ENSMUSG00000030603,23996
61,SLC7A14,ENSG00000013293,57709,Slc7a14,ENSMUSG00000069072,241919
62,POLR3B,ENSG00000013503,55703,Polr3b,ENSMUSG00000034453,70428
63,MATR3,ENSG00000015479,9782,Matr3,ENSMUSG00000037236,17184
64,STMN4,ENSG00000015592,81551,Stmn4,ENSMUSG00000022044,56471
65,ISL1,ENSG00000016082,3670,Isl1,ENSMUSG00000042258,16392
66,ATP1A2,ENSG00000018625,477,Atp1a2,ENSMUSG00000007097,98660
67,ZRANB1,ENSG00000019995,54764,Zranb1,ENSMUSG00000030967,360216
68,NCDN,ENSG00000020129,23154,Ncdn,ENSMUSG00000028833,26562
69,NRXN3,ENSG00000021645,9369,Nrxn3,ENSMUSG00000066392,18191
70,GABRA1,ENSG00000022355,2554,Gabra1,ENSMUSG00000010803,14394
71,STRAP,ENSG00000023734,11171,Strap,ENSMUSG00000030224,20901
72,GCLM,ENSG00000023909,2730,Gclm,ENSMUSG00000028124,14630
73,EHD2,ENSG00000024422,30846,Ehd2,ENSMUSG00000074364,259300
74,SEC63,ENSG00000025796,11231,Sec63,ENSMUSG00000019802,140740
75,KPNA6,ENSG00000025800,23633,Kpna6,ENSMUSG00000003731,16650
76,VIM,ENSG00000026025,7431,Vim,ENSMUSG00000026728,22352
77,PRKCH,ENSG00000027075,5583,Prkch,ENSMUSG00000021108,18755
78,TBPL1,ENSG00000028839,9519,Tbpl1,ENSMUSG00000071359,237336
79,BCLAF1,ENSG00000029363,9774,Bclaf1,ENSMUSG00000037608,72567
80,RABEP1,ENSG00000029725,9135,Rabep1,ENSMUSG00000020817,54189
81,HMGB3,ENSG00000029993,3149,Hmgb3,ENSMUSG00000015217,15354
82,IKZF2,ENSG00000030419,22807,Ikzf2,ENSMUSG00000025997,22779
83,ABCF2,ENSG00000033050,10061,Abcf2,ENSMUSG00000028953,27407
84,FUT8,ENSG00000033170,2530,Fut8,ENSMUSG00000021065,53618
85,ATP6V0A1,ENSG00000033627,535,Atp6v0a1,ENSMUSG00000019302,11975
86,PIAS1,ENSG00000033800,8554,Pias1,ENSMUSG00000032405,56469
87,MAP2K3,ENSG00000034152,5606,Map2k3,ENSMUSG00000018932,26397
88,GABARAPL2,ENSG00000034713,11345,Gabarapl2,ENSMUSG00000031950,93739
89,ADSS2,ENSG00000035687,159,Adss,ENSMUSG00000015961,11566
90,CUL3,ENSG00000036257,8452,Cul3,ENSMUSG00000004364,26554
91,TUBG2,ENSG00000037042,27175,Tubg2,ENSMUSG00000045007,103768
92,HOXC8,ENSG00000037965,3224,Hoxc8,ENSMUSG00000001657,15426
93,TRIO,ENSG00000038382,7204,Trio,ENSMUSG00000022263,223435
94,MTREX,ENSG00000039123,23517,Mtrex,ENSMUSG00000016018,72198
95,CDH10,ENSG00000040731,1008,Cdh10,ENSMUSG00000022321,320873
96,INPP4A,ENSG00000040933,3631,Inpp4a,ENSMUSG00000026113,269180
97,PSMA4,ENSG00000041357,5685,Psma4,ENSMUSG00000032301,26441
98,DCUN1D1,ENSG00000043093,54165,Dcun1d1,ENSMUSG00000027708,114893
99,ZIC2,ENSG00000043355,7546,Zic2,ENSMUSG00000061524,22772
100,CTNNA1,ENSG00000044115,1495,Ctnna1,ENSMUSG00000037815,12385
101,EPHA3,ENSG00000044524,2042,Epha3,ENSMUSG00000052504,13837
102,HSPA5,ENSG00000044574,3309,Hspa5,ENSMUSG00000026864,14828
103,GPM6B,ENSG00000046653,2824,Gpm6b,ENSMUSG00000031342,14758
104,WDR37,ENSG00000047056,22884,Wdr37,ENSMUSG00000021147,207615
105,YTHDC2,ENSG00000047188,64848,Ythdc2,ENSMUSG00000034653,240255
106,POLR2B,ENSG00000047315,5431,Polr2b,ENSMUSG00000029250,231329
107,FAM120A,ENSG00000048828,23196,Fam120a,ENSMUSG00000038014,218236
108,ADAMTS6,ENSG00000049192,11174,Adamts6,ENSMUSG00000046169,108154
109,NEDD4L,ENSG00000049759,23327,Nedd4l,ENSMUSG00000024589,83814
110,THOC3,ENSG00000051596,84321,Thoc3,ENSMUSG00000025872,73666
111,KIF1B,ENSG00000054523,23095,Kif1b,ENSMUSG00000063077,16561
112,ATP9A,ENSG00000054793,10079,Atp9a,ENSMUSG00000027546,11981
113,CBLN4,ENSG00000054803,140689,Cbln4,ENSMUSG00000067578,228942
114,FAM168A,ENSG00000054965,23201,Fam168a,ENSMUSG00000029461,319604
115,SZRD1,ENSG00000055070,26099,Szrd1,ENSMUSG00000040842,213491
116,KCNH2,ENSG00000055118,3757,Kcnh2,ENSMUSG00000038319,16511
117,CUL1,ENSG00000055130,8454,Cul1,ENSMUSG00000029686,26965
118,CYFIP2,ENSG00000055163,26999,Cyfip2,ENSMUSG00000020340,76884
119,PUM2,ENSG00000055917,23369,Pum2,ENSMUSG00000020594,80913
120,ZFR,ENSG00000056097,51663,Zfr,ENSMUSG00000022201,22763
121,GDI2,ENSG00000057608,2665,Gdi2,ENSMUSG00000021218,14569
122,ATG5,ENSG00000057663,9474,Atg5,ENSMUSG00000038160,11793
123,PITHD1,ENSG00000057757,57095,Pithd1,ENSMUSG00000028669,66193
124,USP13,ENSG00000058056,8975,Usp13,ENSMUSG00000056900,72607
125,CDK14,ENSG00000058091,5218,Cdk14,ENSMUSG00000028926,18647
126,SEC61A1,ENSG00000058262,29927,Sec61a1,ENSMUSG00000030082,53421
127,CDK17,ENSG00000059758,5128,Cdk17,ENSMUSG00000020015,237459
128,SNRNP40,ENSG00000060688,9410,Snrnp40,ENSMUSG00000074088,66585
129,NCKAP1,ENSG00000061676,10787,Nckap1,ENSMUSG00000027002,50884
130,ELMO2,ENSG00000062598,63916,Elmo2,ENSMUSG00000017670,140579
131,APPBP2,ENSG00000062725,10513,Appbp2,ENSMUSG00000018481,66884
132,RPL18,ENSG00000063177,6141,Rpl18,ENSMUSG00000059070,19899
133,CA11,ENSG00000063180,770,Car11,ENSMUSG00000003273,12348
134,U2AF2,ENSG00000063244,11338,U2af2,ENSMUSG00000030435,22185
135,DLX3,ENSG00000064195,1747,Dlx3,ENSMUSG00000001510,13393
136,HIPK2,ENSG00000064393,28996,Hipk2,ENSMUSG00000061436,15258
137,TNPO3,ENSG00000064419,23534,Tnpo3,ENSMUSG00000012535,320938
138,SNX24,ENSG00000064652,28966,Snx24,ENSMUSG00000024535,69226
139,BTBD1,ENSG00000064726,53339,Btbd1,ENSMUSG00000025103,83962
140,GNAI3,ENSG00000065135,2773,Gnai3,ENSMUSG00000000001,14679
141,IPO5,ENSG00000065150,3843,Ipo5,ENSMUSG00000030662,70572
142,NTN1,ENSG00000065320,9423,Ntn1,ENSMUSG00000020902,18208
143,TBC1D22B,ENSG00000065491,55633,Tbc1d22b,ENSMUSG00000042203,381085
144,SEC61A2,ENSG00000065665,55176,Sec61a2,ENSMUSG00000025816,57743
145,PPP2R5A,ENSG00000066027,5525,Ppp2r5a,ENSMUSG00000026626,226849
146,CTNNA2,ENSG00000066032,1496,Ctnna2,ENSMUSG00000063063,12386
147,ELAVL1,ENSG00000066044,1994,Elavl1,ENSMUSG00000040028,15568
148,DIP2B,ENSG00000066084,57609,Dip2b,ENSMUSG00000023026,239667
149,SMARCD1,ENSG00000066117,6602,Smarcd1,ENSMUSG00000023018,83797
150,MPPED2,ENSG00000066382,744,Mpped2,ENSMUSG00000016386,77015
151,MSANTD3,ENSG00000066697,91283,Msantd3,ENSMUSG00000039693,66665
152,ARFGEF1,ENSG00000066777,10565,Arfgef1,ENSMUSG00000067851,211673
153,CACNB1,ENSG00000067191,782,Cacnb1,ENSMUSG00000020882,12295
154,DHX8,ENSG00000067596,1659,Dhx8,ENSMUSG00000034931,217207
155,SYT1,ENSG00000067715,6857,Syt1,ENSMUSG00000035864,20979
156,ATP2B3,ENSG00000067842,492,Atp2b3,ENSMUSG00000031376,320707
157,ROCK1,ENSG00000067900,6093,Rock1,ENSMUSG00000024290,19877
158,CBFB,ENSG00000067955,865,Cbfb,ENSMUSG00000031885,12400
159,PDK3,ENSG00000067992,5165,Pdk3,ENSMUSG00000035232,236900
160,OTUD5,ENSG00000068308,55593,Otud5,ENSMUSG00000031154,54644
161,ACSL4,ENSG00000068366,2182,Acsl4,ENSMUSG00000031278,50790
162,LAPTM4A,ENSG00000068697,9741,Laptm4a,ENSMUSG00000020585,17775
163,IP6K2,ENSG00000068745,51447,Ip6k2,ENSMUSG00000032599,76500
164,RASGRP2,ENSG00000068831,10235,Rasgrp2,ENSMUSG00000032946,19395
165,ERLEC1,ENSG00000068912,27248,Erlec1,ENSMUSG00000020311,66753
166,PPP2R5B,ENSG00000068971,5526,Ppp2r5b,ENSMUSG00000024777,225849
167,PYGM,ENSG00000068976,5837,Pygm,ENSMUSG00000032648,19309
168,PITX1,ENSG00000069011,5307,Pitx1,ENSMUSG00000021506,18740
169,TRPC7,ENSG00000069018,57113,Trpc7,ENSMUSG00000021541,26946
170,VPS35,ENSG00000069329,55737,Vps35,ENSMUSG00000031696,65114
171,DNAJA2,ENSG00000069345,10294,Dnaja2,ENSMUSG00000031701,56445
172,ABCC9,ENSG00000069431,10060,Abcc9,ENSMUSG00000030249,20928
173,FUNDC1,ENSG00000069509,139341,Fundc1,ENSMUSG00000025040,72018
174,GNB5,ENSG00000069966,10681,Gnb5,ENSMUSG00000032192,14697
175,RAB27A,ENSG00000069974,5873,Rab27a,ENSMUSG00000032202,11891
176,UFD1,ENSG00000070010,7353,Ufd1,ENSMUSG00000005262,22230
177,LRP6,ENSG00000070018,4040,Lrp6,ENSMUSG00000030201,16974
178,PFN2,ENSG00000070087,5217,Pfn2,ENSMUSG00000027805,18645
179,EXOC5,ENSG00000070367,10640,Exoc5,ENSMUSG00000061244,105504
180,POLB,ENSG00000070501,5423,Polb,ENSMUSG00000031536,18970
181,NDST1,ENSG00000070614,3340,Ndst1,ENSMUSG00000054008,15531
182,AP3M2,ENSG00000070718,10947,Ap3m2,ENSMUSG00000031539,64933
183,CFAP20,ENSG00000070761,29105,Cfap20,ENSMUSG00000031796,14894
184,CSNK2A2,ENSG00000070770,1459,Csnk2a2,ENSMUSG00000046707,13000
185,CAMK2A,ENSG00000070808,815,Camk2a,ENSMUSG00000024617,12322
186,CDC42,ENSG00000070831,998,Cdc42,ENSMUSG00000006699,12540
187,ATP2B1,ENSG00000070961,490,Atp2b1,ENSMUSG00000019943,67972
188,NCK2,ENSG00000071051,8440,Nck2,ENSMUSG00000066877,17974
189,SNX13,ENSG00000071189,23161,Snx13,ENSMUSG00000020590,217463
190,ING3,ENSG00000071243,54556,Ing3,ENSMUSG00000029670,71777
191,TRIB2,ENSG00000071575,28951,Trib2,ENSMUSG00000020601,217410
192,DAZAP1,ENSG00000071626,26528,Dazap1,ENSMUSG00000069565,70248
193,FAM50A,ENSG00000071859,9130,Fam50a,ENSMUSG00000001962,108160
194,CPSF1,ENSG00000071894,29894,Cpsf1,ENSMUSG00000034022,94230
195,PRKACA,ENSG00000072062,5566,Prkaca,ENSMUSG00000005469,18747
196,ADGRL1,ENSG00000072071,22859,Adgrl1,ENSMUSG00000013033,330814
197,ACTN1,ENSG00000072110,87,Actn1,ENSMUSG00000015143,109711
198,TRPC5,ENSG00000072315,7224,Trpc5,ENSMUSG00000041710,22067
199,UBE2D1,ENSG00000072401,7321,Ube2d1,ENSMUSG00000019927,216080
200,SMC1A,ENSG00000072501,8243,Smc1a,ENSMUSG00000041133,24061
201,MARK2,ENSG00000072518,2011,Mark2,ENSMUSG00000024969,13728
202,TRHDE,ENSG00000072657,29953,Trhde,ENSMUSG00000050663,237553
203,FBXW11,ENSG00000072803,23291,Fbxw11,ENSMUSG00000020271,103583
204,CRMP1,ENSG00000072832,1400,Crmp1,ENSMUSG00000029121,12933
205,DERL2,ENSG00000072849,51009,Derl2,ENSMUSG00000018442,116891
206,AP1M1,ENSG00000072958,8907,Ap1m1,ENSMUSG00000003033,11767
207,MCM2,ENSG00000073111,4171,Mcm2,ENSMUSG00000002870,17216
208,TP63,ENSG00000073282,8626,Trp63,ENSMUSG00000022510,22061
209,CLCN4,ENSG00000073464,1183,Clcn4,ENSMUSG00000000605,12727
210,SMARCE1,ENSG00000073584,6605,Smarce1,ENSMUSG00000037935,57376
211,KDM5A,ENSG00000073614,5927,Kdm5a,ENSMUSG00000030180,214899
212,FERMT2,ENSG00000073712,10979,Fermt2,ENSMUSG00000037712,218952
213,FRY,ENSG00000073910,10129,Fry,ENSMUSG00000056602,320365
214,PICALM,ENSG00000073921,8301,Picalm,ENSMUSG00000039361,233489
215,NSF,ENSG00000073969,4905,Nsf,ENSMUSG00000034187,18195
216,PPP2R2C,ENSG00000074211,5522,Ppp2r2c,ENSMUSG00000029120,269643
217,SNCB,ENSG00000074317,6620,Sncb,ENSMUSG00000034891,104069
218,ACTR6,ENSG00000075089,64431,Actr6,ENSMUSG00000019948,67019
219,SRI,ENSG00000075142,6717,Sri,ENSMUSG00000003161,109552
220,SEMA3C,ENSG00000075223,10512,Sema3c,ENSMUSG00000028780,20348
221,RASAL2,ENSG00000075391,9462,Rasal2,ENSMUSG00000070565,226525
222,MARK3,ENSG00000075413,4140,Mark3,ENSMUSG00000007411,17169
223,CACNG5,ENSG00000075429,27091,Cacng5,ENSMUSG00000040373,140723
224,CACNG4,ENSG00000075461,27092,Cacng4,ENSMUSG00000020723,54377
225,FSCN1,ENSG00000075618,6624,Fscn1,ENSMUSG00000029581,14086
226,ACTB,ENSG00000075624,60,Actb,ENSMUSG00000029580,11461
227,RAB7A,ENSG00000075785,7879,Rab7,ENSMUSG00000079477,19349
228,TUBA3D,ENSG00000075886,113457,Tuba3b,ENSMUSG00000067338,22147
229,TUBA3D,ENSG00000075886,113457,Tuba3a,ENSMUSG00000067702,22144
230,KIFAP3,ENSG00000075945,22920,Kifap3,ENSMUSG00000026585,16579
231,MCM6,ENSG00000076003,4175,Mcm6,ENSMUSG00000026355,17219
232,KLHL20,ENSG00000076321,27252,Klhl20,ENSMUSG00000026705,226541
233,PLXNA2,ENSG00000076356,5362,Plxna2,ENSMUSG00000026640,18845
234,TRAF4,ENSG00000076604,9618,Traf4,ENSMUSG00000017386,22032
235,NT5C2,ENSG00000076685,22978,Nt5c2,ENSMUSG00000025041,76952
236,XAB2,ENSG00000076924,56949,Xab2,ENSMUSG00000019470,67439
237,MAP2K7,ENSG00000076984,5609,Map2k7,ENSMUSG00000002948,26400
238,ACTL6B,ENSG00000077080,51412,Actl6b,ENSMUSG00000029712,83766
239,RARB,ENSG00000077092,5915,Rarb,ENSMUSG00000017491,218772
240,TM9SF3,ENSG00000077147,56889,Tm9sf3,ENSMUSG00000025016,107358
241,DCX,ENSG00000077279,1641,Dcx,ENSMUSG00000031285,13193
242,SNRPA,ENSG00000077312,6626,Snrpa,ENSMUSG00000061479,53607
243,SPAG6,ENSG00000077327,9576,Spag6,ENSMUSG00000037708,381350
244,DYNC1I2,ENSG00000077380,1781,Dync1i2,ENSMUSG00000027012,13427
245,FAM76B,ENSG00000077458,143684,Fam76b,ENSMUSG00000037808,72826
246,ACTN2,ENSG00000077522,88,Actn2,ENSMUSG00000052374,11472
247,CAPZB,ENSG00000077549,832,Capzb,ENSMUSG00000028745,12345
248,UBE2A,ENSG00000077721,7319,Ube2a,ENSMUSG00000016308,22209
249,PIAS2,ENSG00000078043,9063,Pias2,ENSMUSG00000025423,17344
250,UBE2K,ENSG00000078140,3093,Ube2k,ENSMUSG00000029203,53323
251,PIK3C3,ENSG00000078142,5289,Pik3c3,ENSMUSG00000033628,225326
252,GNB1,ENSG00000078369,2782,Gnb1,ENSMUSG00000029064,14688
253,HOXA9,ENSG00000078399,3205,Hoxa9,ENSMUSG00000038227,15405
254,VDAC3,ENSG00000078668,7419,Vdac3,ENSMUSG00000008892,22335
255,BRINP1,ENSG00000078725,1620,Brinp1,ENSMUSG00000028351,56710
256,THOC1,ENSG00000079134,9984,Thoc1,ENSMUSG00000024287,225160
257,OSBPL6,ENSG00000079156,114880,Osbpl6,ENSMUSG00000042359,99031
258,SLC1A3,ENSG00000079215,6507,Slc1a3,ENSMUSG00000005360,20512
259,SAR1A,ENSG00000079332,56681,Sar1a,ENSMUSG00000020088,20224
260,PAFAH1B3,ENSG00000079462,5050,Pafah1b3,ENSMUSG00000005447,18476
261,DDX1,ENSG00000079785,1653,Ddx1,ENSMUSG00000037149,104721
262,DNM2,ENSG00000079805,1785,Dnm2,ENSMUSG00000033335,13430
263,RFX3,ENSG00000080298,5991,Rfx3,ENSMUSG00000040929,19726
264,SLC4A4,ENSG00000080493,8671,Slc4a4,ENSMUSG00000060961,54403
265,KCNN2,ENSG00000080709,3781,Kcnn2,ENSMUSG00000054477,140492
266,CNOT4,ENSG00000080802,4850,Cnot4,ENSMUSG00000038784,53621
267,CDH7,ENSG00000081138,1005,Cdh7,ENSMUSG00000026312,241201
268,CADPS2,ENSG00000081803,93664,Cadps2,ENSMUSG00000017978,320405
269,SMARCD3,ENSG00000082014,6604,Smarcd3,ENSMUSG00000028949,66993
270,DLG3,ENSG00000082458,1741,Dlg3,ENSMUSG00000000881,53310
271,GSK3B,ENSG00000082701,2932,Gsk3b,ENSMUSG00000022812,56637
272,ERC1,ENSG00000082805,23085,Erc1,ENSMUSG00000030172,111173
273,XPO1,ENSG00000082898,7514,Xpo1,ENSMUSG00000020290,103573
274,TNPO1,ENSG00000083312,3842,Tnpo1,ENSMUSG00000009470,238799
275,PDS5B,ENSG00000083642,23047,Pds5b,ENSMUSG00000034021,100710
276,RRAGB,ENSG00000083750,10325,Rragb,ENSMUSG00000041658,245670
277,RPS5,ENSG00000083845,6193,Rps5,ENSMUSG00000012848,20103
278,YTHDC1,ENSG00000083896,91746,Ythdc1,ENSMUSG00000035851,231386
279,CHMP2B,ENSG00000083937,25978,Chmp2b,ENSMUSG00000004843,68942
280,EIF3I,ENSG00000084623,8668,Eif3i,ENSMUSG00000028798,54709
281,NKAIN1,ENSG00000084628,79570,Nkain1,ENSMUSG00000078532,67149
282,EFR3B,ENSG00000084710,22979,Efr3b,ENSMUSG00000020658,668212
283,RAB10,ENSG00000084733,10890,Rab10,ENSMUSG00000020671,19325
284,MAPRE3,ENSG00000084764,22924,Mapre3,ENSMUSG00000029166,100732
285,SCAMP1,ENSG00000085365,9522,Scamp1,ENSMUSG00000021687,107767
286,HACE1,ENSG00000085382,57531,Hace1,ENSMUSG00000038822,209462
287,WDFY1,ENSG00000085449,57590,Wdfy1,ENSMUSG00000073643,69368
288,WNT11,ENSG00000085741,7481,Wnt11,ENSMUSG00000015957,22411
289,DNAJA1,ENSG00000086061,3301,Dnaja1,ENSMUSG00000028410,15502
290,CHMP5,ENSG00000086065,51510,Chmp5,ENSMUSG00000028419,76959
291,DIMT1,ENSG00000086189,27292,Dimt1,ENSMUSG00000021692,66254
292,SEPHS1,ENSG00000086475,22929,Sephs1,ENSMUSG00000026662,109079
293,RBM22,ENSG00000086589,55696,Rbm22,ENSMUSG00000024604,66810
294,TMED2,ENSG00000086598,10959,Tmed2,ENSMUSG00000029390,56334
295,HUWE1,ENSG00000086758,10075,Huwe1,ENSMUSG00000025261,59026
296,MTMR2,ENSG00000087053,8898,Mtmr2,ENSMUSG00000031918,77116
297,SRRT,ENSG00000087087,51593,Srrt,ENSMUSG00000037364,83701
298,NLK,ENSG00000087095,51701,Nlk,ENSMUSG00000017376,18099
299,ATXN7L3,ENSG00000087152,56970,Atxn7l3,ENSMUSG00000059995,217218
300,PSMC5,ENSG00000087191,5705,Psmc5,ENSMUSG00000020708,19184
301,MMP2,ENSG00000087245,4313,Mmp2,ENSMUSG00000031740,17390
302,GNAO1,ENSG00000087258,2775,Gnao1,ENSMUSG00000031748,14681
303,RTRAF,ENSG00000087302,51637,Rtraf,ENSMUSG00000021807,68045
304,PIR,ENSG00000087842,8544,Pir,ENSMUSG00000031379,69656
305,GNA11,ENSG00000088256,2767,Gna11,ENSMUSG00000034781,14672
306,DOCK3,ENSG00000088538,1795,Dock3,ENSMUSG00000039716,208869
307,FKBP1A,ENSG00000088832,2280,Fkbp1a,ENSMUSG00000032966,14225
308,NSFL1C,ENSG00000088833,55968,Nsfl1c,ENSMUSG00000027455,386649
309,XRN2,ENSG00000088930,22803,Xrn2,ENSMUSG00000027433,24128
310,DYNLL1,ENSG00000088986,8655,Dynll1,ENSMUSG00000009013,56455
311,TESC,ENSG00000088992,54997,Tesc,ENSMUSG00000029359,57816
312,SNX5,ENSG00000089006,27131,Snx5,ENSMUSG00000027423,69178
313,MAPKAPK5,ENSG00000089022,8550,Mapkapk5,ENSMUSG00000029454,17165
314,LHX5,ENSG00000089116,64211,Lhx5,ENSMUSG00000029595,16873
315,MLF2,ENSG00000089693,8079,Mlf2,ENSMUSG00000030120,30853
316,CCNK,ENSG00000090061,8812,Ccnk,ENSMUSG00000021258,12454
317,PCBP4,ENSG00000090097,57060,Pcbp4,ENSMUSG00000023495,59092
318,MAEA,ENSG00000090316,10296,Maea,ENSMUSG00000079562,59003
319,TFAP4,ENSG00000090447,7023,Tfap4,ENSMUSG00000005718,83383
320,SPG21,ENSG00000090487,51324,Spg21,ENSMUSG00000032388,27965
321,DNAJB11,ENSG00000090520,51726,Dnajb11,ENSMUSG00000004460,67838
322,PABPC4,ENSG00000090621,8761,Pabpc4,ENSMUSG00000011257,230721
323,EXOC1,ENSG00000090989,55763,Exoc1,ENSMUSG00000036435,69940
324,POU4F3,ENSG00000091010,5459,Pou4f3,ENSMUSG00000024497,18998
325,TXNL1,ENSG00000091164,9352,Txnl1,ENSMUSG00000024583,53382
326,RAPGEF4,ENSG00000091428,11069,Rapgef4,ENSMUSG00000049044,56508
327,ALKBH5,ENSG00000091542,54890,Alkbh5,ENSMUSG00000042650,268420
328,SPAG7,ENSG00000091640,9552,Spag7,ENSMUSG00000018287,216873
329,SLC17A6,ENSG00000091664,57084,Slc17a6,ENSMUSG00000030500,140919
330,TMEM101,ENSG00000091947,84336,Tmem101,ENSMUSG00000020921,76547
331,PPP2R3C,ENSG00000092020,55012,Ppp2r3c,ENSMUSG00000021022,59032
332,JPH4,ENSG00000092051,84502,Jph4,ENSMUSG00000022208,319984
333,MYH7,ENSG00000092054,4625,Myh7,ENSMUSG00000053093,140781
334,HECTD1,ENSG00000092148,25831,Hectd1,ENSMUSG00000035247,207304
335,SUPT16H,ENSG00000092201,11198,Supt16,ENSMUSG00000035726,114741
336,TBX15,ENSG00000092607,6913,Tbx15,ENSMUSG00000027868,21384
337,EZR,ENSG00000092820,7430,Ezr,ENSMUSG00000052397,22350
338,MYL6,ENSG00000092841,4637,Myl6,ENSMUSG00000090841,17904
