,mouse_symbol,mouse_ensembl,mouse_entrez,human_symbol,human_ensembl,human_entrez
63,Npas1,ENSMUSG00000001988,18142,NPAS1,ENSG00000130751,4861
64,Ap4e1,ENSMUSG00000001998,108011,AP4E1,ENSG00000081014,23431
65,Kmt2a,ENSMUSG00000002028,214162,KMT2A,ENSG00000118058,4297
66,Cd3g,ENSMUSG00000002033,12502,CD3G,ENSG00000160654,917
67,Clgn,ENSMUSG00000002190,12745,CLGN,ENSG00000153132,1047
68,Lmf1,ENSMUSG00000002279,76483,LMF1,ENSG00000103227,64788
69,Cd320,ENSMUSG00000002308,54219,CD320,ENSG00000167775,51293
70,Snx9,ENSMUSG00000002365,66616,SNX9,ENSG00000130340,51429
71,Abhd3,ENSMUSG00000002475,106861,ABHD3,ENSG00000158201,171586
72,Snrpd1,ENSMUSG00000002477,20641,SNRPD1,ENSG00000167088,6632
73,Tiam1,ENSMUSG00000002489,21844,TIAM1,ENSG00000156299,7074
74,Golga2,ENSMUSG00000002546,99412,GOLGA8S,ENSG00000261739,653061
75,Golga2,ENSMUSG00000002546,99412,GOLGA8F,ENSG00000153684,100132565
76,Golga2,ENSMUSG00000002546,99412,GOLGA8G,ENSG00000183629,283768
77,Golga2,ENSMUSG00000002546,99412,GOLGA8M,ENSG00000188626,653720
78,Golga2,ENSMUSG00000002546,99412,GOLGA8J,ENSG00000179938,653073
79,Golga2,ENSMUSG00000002546,99412,GOLGA8T,ENSG00000261247,653075
80,Golga2,ENSMUSG00000002546,99412,GOLGA8T,ENSG00000261247,653125
81,Golga2,ENSMUSG00000002546,99412,GOLGA8R,ENSG00000186399,101059918
82,Golga2,ENSMUSG00000002546,99412,GOLGA8Q,ENSG00000178115,727909
83,Golga2,ENSMUSG00000002546,99412,GOLGA8Q,ENSG00000178115,728047
84,Golga2,ENSMUSG00000002546,99412,GOLGA8H,ENSG00000261794,728498
85,Golga2,ENSMUSG00000002546,99412,GOLGA8K,ENSG00000249931,653125
86,Golga2,ENSMUSG00000002546,99412,GOLGA2,ENSG00000167110,2801
87,Golga2,ENSMUSG00000002546,99412,GOLGA8O,ENSG00000206127,728047
88,Golga2,ENSMUSG00000002546,99412,GOLGA8N,ENSG00000232653,643699
89,Golga2,ENSMUSG00000002546,99412,GOLGA8A,ENSG00000175265,23015
90,Golga2,ENSMUSG00000002546,99412,GOLGA8B,ENSG00000215252,440270
91,Golga2,ENSMUSG00000002546,99412,GOLGA6B,ENSG00000215186,55889
92,Golga2,ENSMUSG00000002546,99412,GOLGA6A,ENSG00000159289,342096
93,Golga2,ENSMUSG00000002546,99412,GOLGA6A,ENSG00000159289,124907523
94,Golga2,ENSMUSG00000002546,99412,GOLGA6C,ENSG00000167195,653641
95,Golga2,ENSMUSG00000002546,99412,GOLGA6C,ENSG00000167195,124907524
96,Golga2,ENSMUSG00000002546,99412,GOLGA6D,ENSG00000140478,653643
97,Axl,ENSMUSG00000002602,26362,AXL,ENSG00000167601,558
98,Tgfb1,ENSMUSG00000002603,21803,TGFB1,ENSG00000105329,7040
99,Ccdc97,ENSMUSG00000002608,52132,CCDC97,ENSG00000142039,90324
100,Prkra,ENSMUSG00000002731,23992,PRKRA,ENSG00000180228,8575
101,Fkbp7,ENSMUSG00000002732,14231,FKBP7,ENSG00000079150,51661
102,Mrpl2,ENSMUSG00000002767,27398,MRPL2,ENSG00000112651,51069
103,Top3a,ENSMUSG00000002814,21975,TOP3A,ENSG00000177302,7156
104,Adprh,ENSMUSG00000002844,11544,ADPRH,ENSG00000144843,141
105,Il17ra,ENSMUSG00000002897,16172,IL17RA,ENSG00000177663,23765
106,Map2k7,ENSMUSG00000002948,26400,MAP2K7,ENSG00000076984,5609
107,Timm44,ENSMUSG00000002949,21856,TIMM44,ENSG00000104980,10469
108,Apoe,ENSMUSG00000002985,11816,APOE,ENSG00000130203,348
109,Stard3nl,ENSMUSG00000003062,76205,STARD3NL,ENSG00000010270,83930
110,Ppp5c,ENSMUSG00000003099,19060,PPP5C,ENSG00000011485,5536
111,Cdk12,ENSMUSG00000003119,69131,CDK12,ENSG00000167258,51755
112,Lipe,ENSMUSG00000003123,16890,LIPE,ENSG00000079435,3991
113,Foxj2,ENSMUSG00000003154,60611,FOXJ2,ENSG00000065970,55810
114,Bcl2l12,ENSMUSG00000003190,75736,BCL2L12,ENSG00000126453,83596
115,Ranbp2,ENSMUSG00000003226,19386,RANBP2,ENSG00000153201,5903
116,Edar,ENSMUSG00000003227,13608,EDAR,ENSG00000135960,10913
117,Sult2b1,ENSMUSG00000003271,54200,SULT2B1,ENSG00000088002,6820
118,Sult2b1,ENSMUSG00000003271,545963,SULT2B1,ENSG00000088002,6820
119,Phyhip,ENSMUSG00000003469,105653,PHYHIP,ENSG00000168490,9796
120,Ess2,ENSMUSG00000003527,27886,ESS2,ENSG00000100056,8220
121,Dgcr6,ENSMUSG00000003531,13353,DGCR6,ENSG00000183628,8214
122,Dgcr6,ENSMUSG00000003531,13353,DGCR6L,ENSG00000128185,85359
123,Fosb,ENSMUSG00000003545,14282,FOSB,ENSG00000125740,2354
124,Ercc1,ENSMUSG00000003549,13870,ERCC1,ENSG00000012061,2067
125,Crtc1,ENSMUSG00000003575,382056,CRTC1,ENSG00000105662,23373
126,Sec14l2,ENSMUSG00000003585,67815,SEC14L2,ENSG00000100003,23541
127,Taf6l,ENSMUSG00000003680,225895,TAF6L,ENSG00000162227,10629
128,Taf6l,ENSMUSG00000003680,100039957,TAF6L,ENSG00000162227,10629
129,Mast2,ENSMUSG00000003810,17776,MAST2,ENSG00000086015,23139
130,Nob1,ENSMUSG00000003848,67619,NOB1,ENSG00000141101,28987
131,Rpl8,ENSMUSG00000003970,26961,RPL8,ENSG00000161016,6132
132,Map3k11,ENSMUSG00000004054,26403,MAP3K11,ENSG00000173327,4296
133,Akt2,ENSMUSG00000004056,11652,AKT2,ENSG00000105221,208
134,Hmox2,ENSMUSG00000004070,15369,HMOX2,ENSG00000103415,3163
135,Map3k20,ENSMUSG00000004085,65964,MAP3K20,ENSG00000091436,51776
136,Cwc15,ENSMUSG00000004096,66070,CWC15,ENSG00000150316,51503
137,Angptl2,ENSMUSG00000004105,26360,ANGPTL2,ENSG00000136859,23452
138,Kifc2,ENSMUSG00000004187,16581,KIFC2,ENSG00000167702,90990
139,Psap,ENSMUSG00000004207,19156,PSAP,ENSG00000197746,5660
140,Hif3a,ENSMUSG00000004328,53417,HIF3A,ENSG00000124440,64344
141,Spic,ENSMUSG00000004359,20728,SPIC,ENSG00000166211,121599
142,Cul3,ENSMUSG00000004364,26554,CUL3,ENSG00000036257,8452
143,Large1,ENSMUSG00000004383,16795,LARGE1,ENSG00000133424,9215
144,Bid,ENSMUSG00000004446,12122,BID,ENSG00000015475,637
145,Stxbp2,ENSMUSG00000004626,20911,STXBP2,ENSG00000076944,6813
146,Pcp2,ENSMUSG00000004630,18545,PCP2,ENSG00000174788,126006
147,Ulk2,ENSMUSG00000004798,29869,ULK2,ENSG00000083290,9706
148,Ccl24,ENSMUSG00000004814,56221,CCL24,ENSG00000106178,6369
149,Slc25a18,ENSMUSG00000004902,71803,SLC25A18,ENSG00000182902,83733
150,Tmem242,ENSMUSG00000004945,70544,TMEM242,ENSG00000215712,729515
151,Pex5,ENSMUSG00000005069,19305,PEX5,ENSG00000139197,5830
152,Il5ra,ENSMUSG00000005364,16192,IL5RA,ENSG00000091181,3568
153,Pafah1b3,ENSMUSG00000005447,18476,PAFAH1B3,ENSG00000079462,5050
154,Por,ENSMUSG00000005514,18984,POR,ENSG00000127948,5447
155,Igf1r,ENSMUSG00000005533,16001,IGF1R,ENSG00000140443,3480
156,Fcer2a,ENSMUSG00000005540,14128,FCER2,ENSG00000104921,2208
157,Cyp2a5,ENSMUSG00000005547,13087,CYP2A6,ENSG00000255974,1548
158,Cyp2a5,ENSMUSG00000005547,13087,CYP2A7,ENSG00000198077,1549
159,Cyp2a5,ENSMUSG00000005547,13087,CYP2A13,ENSG00000197838,1553
160,Ctr9,ENSMUSG00000005609,22083,CTR9,ENSG00000198730,9646
161,Tmod4,ENSMUSG00000005628,50874,TMOD4,ENSG00000163157,29765
162,Cs,ENSMUSG00000005683,12974,CS,ENSG00000062485,1431
163,Ampd3,ENSMUSG00000005686,11717,AMPD3,ENSG00000133805,272
164,Sh2d1a,ENSMUSG00000005696,20400,SH2D1A,ENSG00000183918,4068
165,Pard6a,ENSMUSG00000005699,56513,PARD6A,ENSG00000102981,50855
166,Gata6,ENSMUSG00000005836,14465,GATA6,ENSG00000141448,2627
167,Spo11,ENSMUSG00000005883,26972,SPO11,ENSG00000054796,23626
168,Kctd20,ENSMUSG00000005936,66989,KCTD20,ENSG00000112078,222658
169,Tyrp1,ENSMUSG00000005994,22178,TYRP1,ENSG00000107165,7306
170,Dhx34,ENSMUSG00000006019,71723,DHX34,ENSG00000134815,9704
171,Snf8,ENSMUSG00000006058,27681,SNF8,ENSG00000159210,11267
172,Cdkal1,ENSMUSG00000006191,68916,CDKAL1,ENSG00000145996,54901
173,Ccdc159,ENSMUSG00000006241,67119,CCDC159,ENSG00000183401,126075
174,Atp6v1b1,ENSMUSG00000006269,110935,ATP6V1B1,ENSG00000116039,525
175,Tep1,ENSMUSG00000006281,21745,TEP1,ENSG00000129566,7011
176,Ttc5,ENSMUSG00000006288,219022,TTC5,ENSG00000136319,91875
177,Susd2,ENSMUSG00000006342,71733,SUSD2,ENSG00000099994,56241
178,Ggt5,ENSMUSG00000006344,23887,GGT5,ENSG00000099998,2687
179,Ggt1,ENSMUSG00000006345,14598,GGT1,ENSG00000100031,2678
180,Ggt1,ENSMUSG00000006345,14598,GGT2P,ENSG00000133475,<NA>
181,Ggt1,ENSMUSG00000006345,14598,GGTLC2,ENSG00000100121,91227
182,Ggt1,ENSMUSG00000006345,14598,GGTLC1,ENSG00000149435,92086
183,Mpl,ENSMUSG00000006389,17480,MPL,ENSG00000117400,4352
184,Elovl1,ENSMUSG00000006390,54325,ELOVL1,ENSG00000066322,64834
185,Med8,ENSMUSG00000006392,80509,MED8,ENSG00000159479,112950
186,Hyi,ENSMUSG00000006395,<NA>,HYI,ENSG00000178922,81888
187,Cdc20,ENSMUSG00000006398,107995,CDC20,ENSG00000117399,991
188,Pdk1,ENSMUSG00000006494,228026,PDK1,ENSG00000152256,5163
189,Prkag3,ENSMUSG00000006542,241113,PRKAG3,ENSG00000115592,53632
190,Cdc42,ENSMUSG00000006699,12540,CDC42,ENSG00000070831,998
191,Gmnn,ENSMUSG00000006715,57441,GMNN,ENSG00000112312,51053
192,Acot13,ENSMUSG00000006717,66834,ACOT13,ENSG00000112304,55856
193,B4galnt1,ENSMUSG00000006731,14421,B4GALNT1,ENSG00000135454,2583
194,Ezh1,ENSMUSG00000006920,14055,EZH1,ENSG00000108799,2145
195,Ctnnb1,ENSMUSG00000006932,12387,CTNNB1,ENSG00000168036,1499
196,Eif1b,ENSMUSG00000006941,68969,EIF1B,ENSG00000114784,10289
197,Syngr3,ENSMUSG00000007021,20974,SYNGR3,ENSG00000127561,9143
198,Vwa7,ENSMUSG00000007030,27762,VWA7,ENSG00000204396,80737
199,Abhd16a,ENSMUSG00000007036,193742,ABHD16A,ENSG00000204427,7920
200,Lsm2,ENSMUSG00000007050,27756,LSM2,ENSG00000204392,57819
201,Scube2,ENSMUSG00000007279,56788,SCUBE2,ENSG00000175356,57758
202,M6pr,ENSMUSG00000007458,17113,M6PR,ENSG00000003056,4074
203,Mc5r,ENSMUSG00000007480,17203,MC5R,ENSG00000176136,4161
204,Gabrb2,ENSMUSG00000007653,14401,GABRB2,ENSG00000145864,2561
205,Arpp19,ENSMUSG00000007656,59046,ARPP19,ENSG00000128989,10776
206,Cct4,ENSMUSG00000007739,12464,CCT4,ENSG00000115484,10575
207,Zmiz1,ENSMUSG00000007817,328365,ZMIZ1,ENSG00000108175,57178
208,Prrg2,ENSMUSG00000007837,65116,PRRG2,ENSG00000126460,5639
209,Id3,ENSMUSG00000007872,15903,ID3,ENSG00000117318,3399
210,Crlf1,ENSMUSG00000007888,12931,CRLF1,ENSG00000006016,9244
211,Ctsd,ENSMUSG00000007891,13033,CTSD,ENSG00000117984,1509
212,Ttc9b,ENSMUSG00000007944,73032,TTC9B,ENSG00000174521,148014
213,Scrn3,ENSMUSG00000008226,74616,SCRN3,ENSG00000144306,79634
214,Phax,ENSMUSG00000008301,56698,PHAX,ENSG00000164902,51808
215,Rdh13,ENSMUSG00000008435,108841,RDH13,ENSG00000160439,112724
216,Nutf2,ENSMUSG00000008450,68051,NUTF2,ENSG00000102898,10204
217,Fut1,ENSMUSG00000008461,14343,FUT1,ENSG00000174951,2523
218,Elavl2,ENSMUSG00000008489,15569,ELAVL2,ENSG00000107105,1993
219,Nfib,ENSMUSG00000008575,18028,NFIB,ENSG00000147862,4781
220,Slc1a7,ENSMUSG00000008932,242607,SLC1A7,ENSG00000162383,6512
221,Gabpa,ENSMUSG00000008976,14390,GABPA,ENSG00000154727,2551
222,Bmp7,ENSMUSG00000008999,12162,BMP7,ENSG00000101144,655
223,Rsph14,ENSMUSG00000009070,71236,RSPH14,ENSG00000100218,27156
224,Derl3,ENSMUSG00000009092,70377,DERL3,ENSG00000099958,91319
225,Bcl2l13,ENSMUSG00000009112,94044,BCL2L13,ENSG00000099968,23786
226,Ccl8,ENSMUSG00000009185,20307,CCL8,ENSG00000108700,6355
227,Lnpk,ENSMUSG00000009207,69605,LNPK,ENSG00000144320,80856
228,Fam163b,ENSMUSG00000009216,109349,FAM163B,ENSG00000196990,642968
229,Ascl2,ENSMUSG00000009248,17173,ASCL2,ENSG00000183734,430
230,Rarres2,ENSMUSG00000009281,71660,RARRES2,ENSG00000106538,5919
231,Pttg1ip,ENSMUSG00000009291,108705,PTTG1IP,ENSG00000183255,754
232,Trpm2,ENSMUSG00000009292,28240,TRPM2,ENSG00000142185,7226
233,Elk1,ENSMUSG00000009406,13712,ELK1,ENSG00000126767,2002
234,Rnmt,ENSMUSG00000009535,67897,RNMT,ENSG00000101654,8731
235,Cdk9,ENSMUSG00000009555,107951,CDK9,ENSG00000136807,1025
236,Tor2a,ENSMUSG00000009563,30933,TOR2A,ENSG00000160404,27433
237,Fpgs,ENSMUSG00000009566,14287,FPGS,ENSG00000136877,2356
238,Dmap1,ENSMUSG00000009640,66233,DMAP1,ENSG00000178028,55929
239,Kcnd1,ENSMUSG00000009731,16506,KCND1,ENSG00000102057,3750
240,Tfcp2,ENSMUSG00000009733,21422,TFCP2,ENSG00000135457,7024
241,Snap47,ENSMUSG00000009894,67826,SNAP47,ENSG00000143740,116841
242,Kdsr,ENSMUSG00000009905,70750,KDSR,ENSG00000119537,2531
243,Aldh3a2,ENSMUSG00000010025,11671,ALDH3A2,ENSG00000072210,224
244,Hyal2,ENSMUSG00000010047,15587,HYAL2,ENSG00000068001,8692
245,Cacna2d2,ENSMUSG00000010066,56808,CACNA2D2,ENSG00000007402,9254
246,Epn3,ENSMUSG00000010080,71889,EPN3,ENSG00000049283,55040
247,Prox1,ENSMUSG00000010175,19130,PROX1,ENSG00000117707,5629
248,Optc,ENSMUSG00000010311,269120,OPTC,ENSG00000188770,26254
249,Ebf3,ENSMUSG00000010476,13593,EBF3,ENSG00000108001,253738
250,Cars,ENSMUSG00000010755,27267,CARS1,ENSG00000110619,833
251,Phlda2,ENSMUSG00000010760,22113,PHLDA2,ENSG00000181649,7262
252,Wnt2,ENSMUSG00000010797,22413,WNT2,ENSG00000105989,7472
253,Gabra1,ENSMUSG00000010803,14394,GABRA1,ENSG00000022355,2554
254,Slc5a1,ENSMUSG00000011034,20537,SLC5A1,ENSG00000100170,6523
255,Zfp296,ENSMUSG00000011267,63872,ZNF296,ENSG00000170684,162979
256,Evi5l,ENSMUSG00000011832,213027,EVI5L,ENSG00000142459,115704
257,Snapc2,ENSMUSG00000011837,102209,SNAPC2,ENSG00000104976,6618
258,Med15,ENSMUSG00000012114,94112,MED15,ENSG00000099917,51586
259,Tjap1,ENSMUSG00000012296,74094,TJAP1,ENSG00000137221,93643
260,Kif11,ENSMUSG00000012443,16551,KIF11,ENSG00000138160,3832
261,Retn,ENSMUSG00000012705,57264,RETN,ENSG00000104918,56729
262,Gfod2,ENSMUSG00000013150,70575,GFOD2,ENSG00000141098,81577
263,Enkd1,ENSMUSG00000013155,102124,ENKD1,ENSG00000124074,84080
264,4933405L10Rik,ENSMUSG00000013158,71046,C16orf86,ENSG00000159761,388284
265,Igf2bp1,ENSMUSG00000013415,140486,IGF2BP1,ENSG00000159217,10642
266,B4galnt2,ENSMUSG00000013418,14422,B4GALNT2,ENSG00000167080,124872
267,Bcas1,ENSMUSG00000013523,76960,BCAS1,ENSG00000064787,8537
268,Aldh1a2,ENSMUSG00000013584,19378,ALDH1A2,ENSG00000128918,8854
269,Snx31,ENSMUSG00000013611,66696,SNX31,ENSG00000174226,169166
270,Timm23,ENSMUSG00000013701,53600,TIMM23B,ENSG00000204152,100652748
271,Tnfaip8l2,ENSMUSG00000013707,69769,TNFAIP8L2,ENSG00000163154,79626
272,Trnt1,ENSMUSG00000013736,70047,TRNT1,ENSG00000072756,51095
273,Ly6g6e,ENSMUSG00000013766,70274,LY6G6E,ENSG00000255552,<NA>
274,Mcemp1,ENSMUSG00000013974,69189,MCEMP1,ENSG00000183019,199675
275,Chp1,ENSMUSG00000014077,56398,CHP1,ENSG00000187446,11261
276,Glis2,ENSMUSG00000014303,83396,GLIS2,ENSG00000126603,84662
277,Cox6c,ENSMUSG00000014313,12864,COX6C,ENSG00000164919,1345
278,Ube2z,ENSMUSG00000014349,268470,UBE2Z,ENSG00000159202,65264
279,Gip,ENSMUSG00000014351,14607,GIP,ENSG00000159224,2695
280,Tmem87b,ENSMUSG00000014353,72477,TMEM87B,ENSG00000153214,84910
281,Anapc1,ENSMUSG00000014355,17222,ANAPC1,ENSG00000153107,64682
282,Mertk,ENSMUSG00000014361,17289,MERTK,ENSG00000153208,10461
283,Blk,ENSMUSG00000014453,12143,BLK,ENSG00000136573,640
284,Ankrd52,ENSMUSG00000014498,237615,ANKRD52,ENSG00000139645,283373
285,Clec4f,ENSMUSG00000014542,51811,CLEC4F,ENSG00000152672,165530
286,Ceacam16,ENSMUSG00000014686,330483,CEACAM16,ENSG00000213892,388551
287,Pdcd2,ENSMUSG00000014771,18567,PDCD2,ENSG00000071994,5134
288,Msh3,ENSMUSG00000014850,17686,MSH3,ENSG00000113318,4437
289,Naf1,ENSMUSG00000014907,234344,NAF1,ENSG00000145414,92345
290,Yes1,ENSMUSG00000014932,22612,YES1,ENSG00000176105,7525
291,Ppp1cb,ENSMUSG00000014956,19046,PPP1CB,ENSG00000213639,5500
292,Gorasp2,ENSMUSG00000014959,70231,GORASP2,ENSG00000115806,26003
293,Fbxw5,ENSMUSG00000015095,30839,FBXW5,ENSG00000159069,54461
294,Lrrk1,ENSMUSG00000015133,233328,LRRK1,ENSG00000154237,79705
295,Cnksr3,ENSMUSG00000015202,215748,IPCEF1,ENSG00000074706,26034
296,Cnksr3,ENSMUSG00000015202,215748,CNKSR3,ENSG00000153721,154043
297,Sash1,ENSMUSG00000015305,70097,SASH1,ENSG00000111961,23328
298,Zdhhc12,ENSMUSG00000015335,66220,ZDHHC12,ENSG00000160446,84885
299,Cybb,ENSMUSG00000015340,13058,CYBB,ENSG00000165168,1536
300,Clpx,ENSMUSG00000015357,270166,CLPX,ENSG00000166855,10845
301,Hivep2,ENSMUSG00000015501,15273,HIVEP2,ENSG00000010818,3097
302,Nat9,ENSMUSG00000015542,66176,NAT9,ENSG00000109065,26151
303,Atp6v0e,ENSMUSG00000015575,11974,ATP6V0E1,ENSG00000113732,8992
304,Zfp318,ENSMUSG00000015597,57908,ZNF318,ENSG00000171467,24149
305,Ttbk1,ENSMUSG00000015599,106763,TTBK1,ENSG00000146216,84630
306,Gata5,ENSMUSG00000015627,14464,GATA5,ENSG00000130700,140628
307,Lama5,ENSMUSG00000015647,16776,LAMA5,ENSG00000130702,3911
308,Serac1,ENSMUSG00000015659,321007,SERAC1,ENSG00000122335,84947
309,Mrpl32,ENSMUSG00000015672,75398,MRPL32,ENSG00000106591,64983
310,Plekho1,ENSMUSG00000015745,67220,PLEKHO1,ENSG00000023902,51177
311,Vps45,ENSMUSG00000015747,22365,VPS45,ENSG00000136631,11311
312,Anp32e,ENSMUSG00000015749,66471,ANP32E,ENSG00000143401,81611
313,Aph1a,ENSMUSG00000015750,226548,APH1A,ENSG00000117362,51107
314,Tab2,ENSMUSG00000015755,68652,TAB2,ENSG00000055208,23118
315,Ppil4,ENSMUSG00000015757,67418,PPIL4,ENSG00000131013,85313
316,Med28,ENSMUSG00000015804,66999,MED28,ENSG00000118579,80306
317,Qdpr,ENSMUSG00000015806,110391,QDPR,ENSG00000151552,5860
318,Fam184b,ENSMUSG00000015879,58227,FAM184B,ENSG00000047662,27146
319,Ncapg,ENSMUSG00000015880,54392,NCAPG,ENSG00000109805,64151
320,Lcorl,ENSMUSG00000015882,209707,LCORL,ENSG00000178177,254251
321,Lcorl,ENSMUSG00000015882,100041576,LCORL,ENSG00000178177,254251
322,Dstn,ENSMUSG00000015932,56431,DSTN,ENSG00000125868,11034
323,Bola1,ENSMUSG00000015943,69168,BOLA1,ENSG00000178096,51027
324,Fcgr1,ENSMUSG00000015947,14129,FCGR1A,ENSG00000150337,2209
325,Fcgr1,ENSMUSG00000015947,14129,FCGR1BP,ENSG00000198019,<NA>
326,Fnta,ENSMUSG00000015994,14272,FNTA,ENSG00000168522,2339
327,Hsd11b1,ENSMUSG00000016194,15483,HSD11B1,ENSG00000117594,3290
328,Atp5e,ENSMUSG00000016252,67126,ATP5F1E,ENSG00000124172,514
329,Nelfcd,ENSMUSG00000016253,57314,NELFCD,ENSG00000101158,51497
330,Tubb1,ENSMUSG00000016255,545486,TUBB1,ENSG00000101162,81027
331,Ctsz,ENSMUSG00000016256,64138,CTSZ,ENSG00000101160,1522
332,Prelid3b,ENSMUSG00000016257,66390,PRELID3B,ENSG00000101166,51012
333,Kcnq2,ENSMUSG00000016346,16536,KCNQ2,ENSG00000075043,3785
334,Col20a1,ENSMUSG00000016356,73368,COL20A1,ENSG00000101203,57642
335,Nkap,ENSMUSG00000016409,67050,NKAP,ENSG00000101882,79576
336,Ndufa1,ENSMUSG00000016427,54405,NDUFA1,ENSG00000125356,4694
337,E2f3,ENSMUSG00000016477,13557,E2F3,ENSG00000112242,1871
338,Plgrkt,ENSMUSG00000016495,67759,PLGRKT,ENSG00000107020,55848
339,Cd274,ENSMUSG00000016496,60533,CD274,ENSG00000120217,29126
