human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,human_entrez,mouse_entrez
ACSF3,Acsf3,ENSG00000176715,ENSMUSG00000015016,197322,257633
ACSL1,Acsl1,ENSG00000151726,ENSMUSG00000018796,2180,14081
ACSL3,Acsl3,ENSG00000123983,ENSMUSG00000032883,2181,74205
ACSL4,Acsl4,ENSG00000068366,ENSMUSG00000031278,2182,50790
ACSL5,Acsl5,ENSG00000197142,ENSMUSG00000024981,51703,433256
ACSL6,Acsl6,ENSG00000164398,ENSMUSG00000020333,23305,216739
ACSM1,Acsm1,ENSG00000166743,ENSMUSG00000033533,116285,117147
ACSM2A,Acsm2,ENSG00000183747,ENSMUSG00000030945,123876,233799
ACSM2B,Acsm2,ENSG00000066813,ENSMUSG00000030945,348158,233799
ACSM3,Acsm3,ENSG00000005187,ENSMUSG00000030935,6296,20216
ACSM4,Acsm4,ENSG00000215009,ENSMUSG00000047026,341392,233801
ACSM5,Acsm5,ENSG00000183549,ENSMUSG00000030972,54988,272428
ACSS1,Acss1,ENSG00000154930,ENSMUSG00000027452,84532,68738
ACSS2,Acss2,ENSG00000131069,ENSMUSG00000027605,55902,60525
ACSS3,Acss3,ENSG00000111058,ENSMUSG00000035948,79611,380660
ACTA1,Acta1,ENSG00000143632,ENSMUSG00000031972,58,11459
ACTA2,Acta2,ENSG00000107796,ENSMUSG00000035783,59,11475
ACTB,Actb,ENSG00000075624,ENSMUSG00000029580,60,11461
ACTBL2,Actbl2,ENSG00000169067,ENSMUSG00000055194,345651,238880
ACTC1,Actc1,ENSG00000159251,ENSMUSG00000068614,70,11464
ACTG1,Actg1,ENSG00000184009,ENSMUSG00000062825,71,11465
ACTG2,Actg2,ENSG00000163017,ENSMUSG00000059430,72,11468
ACTL10,Actl10,ENSG00000288649,ENSMUSG00000078129,170487,70362
ACTL6A,Actl6a,ENSG00000136518,ENSMUSG00000027671,86,56456
ACTL6B,Actl6b,ENSG00000077080,ENSMUSG00000029712,51412,83766
ACTL7A,Actl7a,ENSG00000187003,ENSMUSG00000070979,10881,11470
ACTL7B,Actl7b,ENSG00000148156,ENSMUSG00000070980,10880,11471
ACTL9,Actl9,ENSG00000181786,ENSMUSG00000092519,284382,69481
ACTN1,Actn1,ENSG00000072110,ENSMUSG00000015143,87,109711
ACTN2,Actn2,ENSG00000077522,ENSMUSG00000052374,88,11472
ACTN3,Actn3,ENSG00000248746,ENSMUSG00000006457,89,11474
ACTN4,Actn4,ENSG00000282844,ENSMUSG00000054808,81,60595
ACTN4,Actn4,ENSG00000130402,ENSMUSG00000054808,81,60595
ACTR10,Actr10,ENSG00000131966,ENSMUSG00000021076,55860,56444
ACTR1A,Actr1a,ENSG00000138107,ENSMUSG00000025228,10121,54130
ACTR1B,Actr1b,ENSG00000115073,ENSMUSG00000037351,10120,226977
ACTR2,Actr2,ENSG00000138071,ENSMUSG00000020152,10097,66713
ACTR3,Actr3,ENSG00000115091,ENSMUSG00000026341,10096,74117
ACTR3B,Actr3b,ENSG00000133627,ENSMUSG00000056367,57180,242894
ACTR3C,Actr3b,ENSG00000106526,ENSMUSG00000056367,653857,242894
ACTR5,Actr5,ENSG00000101442,ENSMUSG00000037761,79913,109275
ACTR6,Actr6,ENSG00000075089,ENSMUSG00000019948,64431,67019
ACTR8,Actr8,ENSG00000113812,ENSMUSG00000015971,93973,56249
ACTRT1,Actrt1,ENSG00000123165,ENSMUSG00000046615,139741,73360
ACTRT2,Actrt2,ENSG00000169717,ENSMUSG00000051276,140625,73353
ACTRT3,Actrt3,ENSG00000184378,ENSMUSG00000037737,84517,76652
ACVR1,Acvr1,ENSG00000115170,ENSMUSG00000026836,90,11477
ACVR1B,Acvr1b,ENSG00000135503,ENSMUSG00000000532,91,11479
ACVR1C,Acvr1c,ENSG00000123612,ENSMUSG00000026834,130399,269275
ACVR2A,Acvr2a,ENSG00000121989,ENSMUSG00000052155,92,11480
ACVR2B,Acvr2b,ENSG00000114739,ENSMUSG00000061393,93,11481
ACVRL1,Acvrl1,ENSG00000139567,ENSMUSG00000000530,94,11482
ACY1,Acy1,ENSG00000243989,ENSMUSG00000023262,95,109652
ACY3,Acy3,ENSG00000132744,ENSMUSG00000024866,91703,71670
ACYP2,Acyp2,ENSG00000170634,ENSMUSG00000060923,98,75572
ADA,Ada,ENSG00000196839,ENSMUSG00000017697,100,11486
ADAD1,Adad1,ENSG00000164113,ENSMUSG00000027719,132612,21744
ADAD2,Adad2,ENSG00000140955,ENSMUSG00000024266,161931,75773
ADAL,Adal,ENSG00000168803,ENSMUSG00000027259,161823,75894
ADAM10,Adam10,ENSG00000137845,ENSMUSG00000054693,102,11487
ADAM11,Adam11,ENSG00000073670,ENSMUSG00000020926,4185,11488
ADAM12,Adam12,ENSG00000148848,ENSMUSG00000054555,8038,11489
ADAM15,Adam15,ENSG00000143537,ENSMUSG00000028041,8751,11490
ADAM17,Adam17,ENSG00000151694,ENSMUSG00000052593,6868,11491
ADAM18,Adam18,ENSG00000168619,ENSMUSG00000031552,8749,13524
ADAM18,Adam18,ENSG00000278548,ENSMUSG00000031552,8749,13524
ADAM2,Adam2,ENSG00000104755,ENSMUSG00000022039,2515,11495
ADAM2,Adam2,ENSG00000276286,ENSMUSG00000022039,2515,11495
ADAM20,Adam25,ENSG00000134007,ENSMUSG00000071937,8748,23793
ADAM20,Adam20,ENSG00000134007,ENSMUSG00000046282,8748,384806
ADAM20,Adam39,ENSG00000134007,ENSMUSG00000054033,8748,546055
ADAM21,Adam21,ENSG00000139985,ENSMUSG00000008438,8747,56622
ADAM22,Adam22,ENSG00000008277,ENSMUSG00000040537,53616,11496
ADAM23,Adam23,ENSG00000114948,ENSMUSG00000025964,8745,23792
ADAM28,Adam28,ENSG00000042980,ENSMUSG00000014725,10863,13522
ADAM29,Adam29,ENSG00000168594,ENSMUSG00000046258,11086,244486
ADAM30,Adam30,ENSG00000134249,ENSMUSG00000043468,11085,71078
ADAM32,Adam32,ENSG00000197140,ENSMUSG00000037437,203102,353188
ADAM32,Adam32,ENSG00000275594,ENSMUSG00000037437,203102,353188
ADAM33,Adam33,ENSG00000149451,ENSMUSG00000027318,80332,110751
ADAM7,Adam7,ENSG00000069206,ENSMUSG00000022056,8756,11500
ADAM8,Adam8,ENSG00000151651,ENSMUSG00000025473,101,11501
ADAM9,Adam9,ENSG00000168615,ENSMUSG00000031555,8754,11502
ADAM9,Adam9,ENSG00000282230,ENSMUSG00000031555,8754,11502
ADAMDEC1,Adamdec1,ENSG00000134028,ENSMUSG00000022057,27299,58860
ADAMTS1,Adamts1,ENSG00000154734,ENSMUSG00000022893,9510,11504
ADAMTS10,Adamts10,ENSG00000142303,ENSMUSG00000024299,81794,224697
ADAMTS12,Adamts12,ENSG00000151388,ENSMUSG00000047497,81792,239337
ADAMTS12,Adamts12,ENSG00000281690,ENSMUSG00000047497,81792,239337
ADAMTS13,Adamts13,ENSG00000281244,ENSMUSG00000014852,11093,279028
ADAMTS13,Adamts13,ENSG00000160323,ENSMUSG00000014852,11093,279028
ADAMTS14,Adamts14,ENSG00000138316,ENSMUSG00000059901,140766,237360
ADAMTS15,Adamts15,ENSG00000166106,ENSMUSG00000033453,170689,235130
ADAMTS16,Adamts16,ENSG00000145536,ENSMUSG00000049538,170690,271127
ADAMTS17,Adamts17,ENSG00000140470,ENSMUSG00000058145,170691,233332
ADAMTS18,Adamts18,ENSG00000140873,ENSMUSG00000053399,170692,208936
ADAMTS19,Adamts19,ENSG00000145808,ENSMUSG00000053441,171019,240322
ADAMTS2,Adamts2,ENSG00000087116,ENSMUSG00000036545,9509,216725
ADAMTS2,Adamts2,ENSG00000283802,ENSMUSG00000036545,9509,216725
ADAMTS20,Adamts20,ENSG00000173157,ENSMUSG00000022449,80070,223838
ADAMTS3,Adamts3,ENSG00000156140,ENSMUSG00000043635,9508,330119
ADAMTS4,Adamts4,ENSG00000158859,ENSMUSG00000006403,9507,240913
ADAMTS5,Adamts5,ENSG00000154736,ENSMUSG00000022894,11096,23794
ADAMTS6,Adamts6,ENSG00000049192,ENSMUSG00000046169,11174,108154
ADAMTS7,Adamts7,ENSG00000136378,ENSMUSG00000032363,11173,108153
ADAMTS8,Adamts8,ENSG00000134917,ENSMUSG00000031994,11095,30806
ADAMTS9,Adamts9,ENSG00000163638,ENSMUSG00000030022,56999,101401
ADAMTSL1,Adamtsl1,ENSG00000178031,ENSMUSG00000066113,92949,77739
ADAMTSL2,Adamtsl2,ENSG00000197859,ENSMUSG00000036040,9719,77794
ADAMTSL3,Adamtsl3,ENSG00000156218,ENSMUSG00000070469,57188,269959
ADAMTSL4,Adamtsl4,ENSG00000143382,ENSMUSG00000015850,54507,229595
ADAMTSL5,Adamtsl5,ENSG00000185761,ENSMUSG00000043822,339366,66548
ADAP1,Adap1,ENSG00000105963,ENSMUSG00000056413,11033,231821
ADAP2,Adap2,ENSG00000184060,ENSMUSG00000020709,55803,216991
ADAR,Adar,ENSG00000160710,ENSMUSG00000027951,103,56417
ADARB1,Adarb1,ENSG00000197381,ENSMUSG00000020262,104,110532
ADARB2,Adarb2,ENSG00000185736,ENSMUSG00000052551,105,94191
ADAT1,Adat1,ENSG00000065457,ENSMUSG00000031949,23536,30947
ADAT2,Adat2,ENSG00000189007,ENSMUSG00000019808,134637,66757
ADAT3,Gm49322,ENSG00000213638,ENSMUSG00000035370,113179,-1
ADAT3,Adat3,ENSG00000213638,ENSMUSG00000113640,113179,100113398
ADCK1,Adck1,ENSG00000063761,ENSMUSG00000021044,57143,72113
ADCK2,Adck2,ENSG00000133597,ENSMUSG00000046947,90956,57869
ADCK5,Adck5,ENSG00000285451,ENSMUSG00000022550,203054,268822
ADCK5,Adck5,ENSG00000173137,ENSMUSG00000022550,203054,268822
ADCY1,Adcy1,ENSG00000164742,ENSMUSG00000020431,107,432530
ADCY10,Adcy10,ENSG00000143199,ENSMUSG00000026567,55811,271639
ADCY2,Adcy2,ENSG00000078295,ENSMUSG00000021536,108,210044
ADCY3,Adcy3,ENSG00000138031,ENSMUSG00000020654,109,104111
ADCY4,Adcy4,ENSG00000129467,ENSMUSG00000022220,196883,104110
ADCY4,Adcy4,ENSG00000284814,ENSMUSG00000022220,196883,104110
ADCY5,Adcy5,ENSG00000173175,ENSMUSG00000022840,111,224129
ADCY6,Adcy6,ENSG00000174233,ENSMUSG00000022994,112,11512
ADCY7,Adcy7,ENSG00000121281,ENSMUSG00000031659,113,11513
ADCY8,Adcy8,ENSG00000155897,ENSMUSG00000022376,114,11514
ADCY9,Adcy9,ENSG00000162104,ENSMUSG00000005580,115,11515
